,0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
0,TÀI SẢN,,,,,,,,,,,,,,,,,,
1,A- TÀI SẢN NGẮN HẠN,2020706678004.0,3044564000892.0,4342621864908.0,4658263302412.0,7678505205644.0,8839022362540.0,11372728248045.0,10229470211202.0,12908243472406.0,16964332738803.0,21908662957423.0,16059937820645.0,18406087226041.0,18979176128930.0,25612489544931.0,35118372900846.0,30937711076141.0,36705751751876.0
2,I. Tiền và các khoản tương đương tiền,415058160511.0,669451697346.0,895514803431.0,1242502927497.0,2310510026631.0,1436127765530.0,2902382823282.0,2318915022090.0,2750971144015.0,4336282447769.0,6013361389774.0,3480659514788.0,3925727206293.0,3453388617569.0,4686191374038.0,5417845293242.0,6440177174322.0,8279156683221.0
3,1. Tiền,415058160511.0,669451697346.0,815402303431.0,1088022490228.0,1491536580828.0,861718472654.0,1498138209402.0,1448573791559.0,1426911070762.0,2072206319316.0,2708396961973.0,1886435218720.0,2682437141849.0,2611644417963.0,2216742790757.0,3447377491137.0,3880860111180.0,5975127685903.0
4,2. Các khoản tương đương tiền,,,80112500000.0,154480437269.0,818973445803.0,574409292876.0,1404244613880.0,870341230531.0,1324060073253.0,2264076128453.0,3304964427801.0,1594224296068.0,1243290064444.0,841744199606.0,2469448583281.0,1970467802105.0,2559317063142.0,2304028997318.0
5,II. Các khoản đầu tư tài chính ngắn hạn,,,,,619749470020.0,563892171622.0,861597468810.0,662020767658.0,1443449364921.0,1441486664176.0,3472087285737.0,4379446212073.0,5568623727137.0,6708978162325.0,12435918124269.0,20730720735456.0,13047234131950.0,16104205358010.0
6,1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,
7,2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,
8,3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,-2000000000.0,,-15606621754.0,-9405497120.0,-9405497120.0,3472087285737.0,4379446212073.0,5568623727137.0,6708978162325.0,12435918124269.0,20730720735456.0,13047234131950.0,16104205358010.0
9,III. Các khoản phải thu ngắn hạn,1197394744030.0,1756845240064.0,1849283013633.0,1994169987920.0,2545551247664.0,3248876343735.0,3781513726520.0,3775642141085.0,4411534370955.0,5034337827055.0,6640135921823.0,6151782399408.0,6426946279074.0,6536251148622.0,6265411863371.0,6882182894987.0,8502895161839.0,9674343237344.0
10,1. Phải thu ngắn hạn của khách hàng,1025324924102.0,1509767129454.0,1511116511987.0,1541292025933.0,1885705039414.0,2355779082971.0,3055170440701.0,3208601584061.0,3658267197017.0,4005225417438.0,4813644916901.0,5038378935917.0,5561545801834.0,5812938112346.0,5564392191491.0,6211956510246.0,7990076948983.0,9057647206985.0
11,2. Trả trước cho người bán ngắn hạn,121923450712.0,162099376201.0,160983722210.0,271888719628.0,395080550520.0,241613024080.0,202305584199.0,209644308313.0,253623307137.0,400189196061.0,502798063471.0,95340696039.0,218427501076.0,274779131899.0,459336196478.0,400707131836.0,292916357080.0,482074732731.0
12,3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,
13,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,61417792020.0,92724478378.0,94000086462.0,153813573772.0,259634990533.0,272484692839.0,419888616854.0,522982860079.0,621152412137.0,431581193340.0,251954356007.0,318339389202.0,197972680487.0,168939964952.0,199252243559.0,176770894412.0
14,5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,910049188.0,394176861.0,185532228683.0,34762220000.0,882560901.0,515430000.0
15,6. Phải thu ngắn hạn khác,50873278486.0,84997204409.0,122559890500.0,107083598814.0,192908486005.0,556197935397.0,368964010051.0,265938583078.0,320026947899.0,401395904525.0,845228760854.0,767000371499.0,658775479875.0,491315953067.0,480833352415.0,595813030192.0,719203074569.0,869491618296.0
16,7. Dự phòng phải thu ngắn hạn khó đòi,-726909270.0,-18470000.0,-6794903084.0,-18818834833.0,-22142914737.0,-58527272485.0,-104561298964.0,-181027027206.0,-240271697952.0,-295455551048.0,-142688231540.0,-180518797387.0,-264666908906.0,-361515614753.0,-622654786183.0,-529995962239.0,-699436023253.0,-912156645080.0
17,8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,
18,IV. Hàng tồn kho,384295847493.0,554668876542.0,1428218348569.0,1223957881179.0,1426043318661.0,2448471898690.0,3275849800433.0,2699508806652.0,3328880961810.0,4572636184140.0,4553808475949.0,1020212423590.0,1340687216347.0,1284200733943.0,1290091524352.0,1507342901619.0,1965787736563.0,1593411075233.0
